id,url,name,affiliation,role
R0001,https://example.com/survey/R0001/田中-佐代子,田中 佐代子,芸術系/Faculty of Art and Design,Domain_researcher
R0002,https://example.com/survey/R0002/マニエ渡邊レミ,マニエー渡邊レミー,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0003,https://example.com/survey/R0003/髙橋-阿貴,髙橋 阿貴,人間系/Faculty of Human Sciences,Domain_researcher
R0004,https://example.com/survey/R0004/松田壮一郎,松田壮一郎,人間系/Faculty of Human Sciences,AI_researcher
R0005,https://example.com/survey/R0005/千島雄太,千島雄太,人間系/Faculty of Human Sciences,Domain_researcher
R0006,https://example.com/survey/R0006/小林和子,小林和子,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0007,https://example.com/survey/R0007/Kai-Wing-Kevin-Ho,Kai Wing Kevin Ho,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0008,https://example.com/survey/R0008/菅原大地,菅原大地,人間系/Faculty of Human Sciences,Domain_researcher
R0009,https://example.com/survey/R0009/名畑目-真吾,名畑目 真吾,人間系/Faculty of Human Sciences,AI_researcher
R0010,https://example.com/survey/R0010/笹森貴裕,笹森貴裕,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0011,https://example.com/survey/R0011/神戸-徹也,神戸 徹也,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0012,https://example.com/survey/R0012/松田侑子,松田侑子,人間系/Faculty of Human Sciences,Domain_researcher
R0013,https://example.com/survey/R0013/石塚智也,石塚智也,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0014,https://example.com/survey/R0014/中山紗織,中山紗織,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0015,https://example.com/survey/R0015/藤田直子,藤田直子,芸術系/Faculty of Art and Design,Domain_researcher
R0016,https://example.com/survey/R0016/猿渡康文,猿渡康文,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0017,https://example.com/survey/R0017/平山大作,平山大作,体育系/Faculty of Health and Sport Sciences,Domain_researcher
R0018,https://example.com/survey/R0018/室井-慧,室井 慧,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,AI_researcher
R0019,https://example.com/survey/R0019/石井あずさ,石井あずさ,国際統合睡眠医科学研究機構/International Institute for Integrative Sleep Medicine,Domain_researcher
R0020,https://example.com/survey/R0020/西村-賢宣,西村 賢宣,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0021,https://example.com/survey/R0021/小沢-顕,小沢 顕,数理物質系/Faculty of Pure and Applied Sciences,Domain_researcher
R0022,https://example.com/survey/R0022/直井義典,直井義典,ビジネスサイエンス系/Faculty of Business Sciences,Domain_researcher
R0023,https://example.com/survey/R0023/重田育照,重田育照,計算科学研究センター/Center for Computational Sciences,Domain_researcher
R0024,https://example.com/survey/R0024/谷-一寿,谷 一寿,計算科学研究センター/Center for Computational Sciences,AI_researcher
